Algorithm,Accuracy,DPD,Profit,alpha_fair,threshold
Optuna NSGA-II,0.6585823124500281,0.0160392935850031,0.3907631887707432,0.936154774160781,0.4465447373174767
Optuna NSGA-II,0.7349900285816692,0.09152433666944741,0.3885483391691404,0.03142918568673425,0.3341389859975072
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.6764420263882633,0.03160867449540115,0.3871866508594413,0.040728802318970136,0.4440762565645051
Optuna NSGA-II,0.6942802964161099,0.06417137756954545,0.37640495905744825,0.020584494295802447,0.4966463500467329
Optuna NSGA-II,0.6921450956245233,0.05770572722687493,0.4743132587697935,0.14008401523652403,0.5784119186699892
Optuna NSGA-II,0.6593068102795979,0.044251190390217125,0.4450744869544439,0.31171107608941095,0.6579309401710595
Optuna NSGA-II,0.705000719902706,0.060436874789137486,0.36570444777335626,0.2944488920695857,0.3181216039088178
Optuna NSGA-II,0.6835843802556726,0.05237107182430654,0.39791320117757706,0.3746126146264712,0.4540390914407701
Optuna NSGA-II,0.7092925653962681,0.05901887583074189,0.337884037459448,0.417411003148779,0.3888431241882921
Optuna NSGA-II,0.6564379214111319,0.06758019690933194,0.48863166407808034,0.12203823484477883,0.6233589392465844
Optuna NSGA-II,0.6535843496215149,0.015854577698472955,0.4679030612713788,0.9394989415641891,0.6579309401710595
Optuna NSGA-II,0.6600159910303186,0.017612263712454567,0.32070440182211973,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.6757236553902333,0.024597109758632014,0.3257284036846765,0.6454722959071678,0.32961786069363613
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.6528690420392546,0.019693489260018366,0.4743255124328729,0.9394989415641891,0.6579309401710595
Optuna NSGA-II,0.6571608875328169,0.026692423550213906,0.43221426755260656,0.31171107608941095,0.6233589392465844
Optuna NSGA-II,0.7135599035636716,0.07550374921761034,0.33139878627467195,0.12203823484477883,0.32961786069363613
Optuna NSGA-II,0.6650124221509468,0.020348306170011776,0.37218050871082275,0.9394989415641891,0.5006065178748798
Optuna NSGA-II,0.6707256925617201,0.028120992366805986,0.3564498687326343,0.936154774160781,0.3185801650879991
Optuna NSGA-II,0.5664408929244286,0.03792113002254061,0.502147454454666,0.9296976523425731,0.6232481518257668
Optuna NSGA-II,0.7107048000661699,0.06250074745742402,0.31422987259253815,0.03142918568673425,0.3341389859975072
Optuna NSGA-II,0.6864394837531744,0.02490982223832668,0.35077335931109904,0.2944488920695857,0.3341389859975072
Optuna NSGA-II,0.7328425741270032,0.10098439297568247,0.4399570509109067,0.015456616528867428,0.4174367377057973
Optuna NSGA-II,0.6642986462765713,0.044260143459131145,0.45005866441199266,0.10312386883593261,0.6579309401710595
Optuna NSGA-II,0.6650246758140262,0.027753531922850867,0.42581785542515616,0.7722447692966574,0.6232481518257668
Optuna NSGA-II,0.6707226291459504,0.012983203043084202,0.28144672873147014,0.9656320330745594,0.6233589392465844
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.7235650194680071,0.07702780986661796,0.38425343025980824,0.015456616528867428,0.32961786069363613
Optuna NSGA-II,0.6564394531190167,0.018107660325157638,0.4636204060251261,0.9296976523425731,0.6232481518257668
Optuna NSGA-II,0.7157027628946828,0.085659072337901,0.49424843689210346,0.015456616528867428,0.6713274250350901
Optuna NSGA-II,0.6707180340222955,0.046160087318238736,0.43142696969975464,0.040728802318970136,0.6550816731033199
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.6588863031813307
Optuna NSGA-II,0.6928879739487123,0.04238101140967628,0.310803442053959,0.70096913145912,0.3291052025456774
Optuna NSGA-II,0.6985552931229378,0.05040262918570001,0.3627819491289177,0.015456616528867428,0.4540390914407701
Optuna NSGA-II,0.6642925194450315,0.01971913729997572,0.37867495014290836,0.9656320330745594,0.6287440237161425
Optuna NSGA-II,0.6685828332307088,0.05117039929950699,0.432906599516593,0.015456616528867428,0.6579309401710595
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
