Algorithm,Accuracy,DPD,Profit,alpha_fair,threshold,fp_weight
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9699098521619943,0.6329770563201687,2.9110519961044856
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.06505159298527952,0.6795542149013333,9.690688297671034
Optuna NSGA-II,0.5057193972423132,0.003832192577227323,0.5057193972423132,0.8021969807540397,0.3298202574719083,9.881982429404655
Optuna NSGA-II,0.6478710792107415,0.03034751096298338,0.4479219319125211,0.6232981268275579,0.43235920994105964,1.5720251525742128
Optuna NSGA-II,0.625698075868555,0.026479129794085638,0.5399683855492552,0.49379559636439074,0.5090931317527976,4.847869165226946
Optuna NSGA-II,0.6242781826592286,0.03290468558051226,0.5599924027288908,0.11005192452767676,0.39117406501677665,4.843970097636307
Optuna NSGA-II,0.6800017155128311,0.08703230289692089,0.5336087344110431,0.417411003148779,0.3888431241882921,2.0787883060031453
Optuna NSGA-II,0.627845530323221,0.02591779445825193,0.49927397046254524,0.23956189066697242,0.35795794883648924,5.405074842498067
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.8920465551771133,0.5524554503989052,8.153301731874835
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.936154774160781,0.5784119186699892,6.1305505308042845
Optuna NSGA-II,0.5035750062034169,0.0022052899649065314,0.5035750062034169,0.9758520794625346,0.5065201393204781,3.9066082564712135
Optuna NSGA-II,0.6707226291459504,0.054203806874486594,0.3885820367426087,0.11607264050691624,0.31840105680870107,1.3665592208707311
Optuna NSGA-II,0.6057077562623876,0.015069373245145937,0.5485827106940782,0.04530400977204452,0.4498450458505885,6.632739241428127
Optuna NSGA-II,0.6121378659633064,0.02008961939863045,0.5621505791387512,0.5031362585800877,0.3888431241882921,6.1305505308042845
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.8530094554673601,0.37986951286334386,6.78177350385684
Optuna NSGA-II,0.6335725861049587,0.03548050400987415,0.5443199676503295,0.49161587511683236,0.48938870831222625,2.762120213103668
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9758520794625346,0.4275902521175045,8.803650867220934
Optuna NSGA-II,0.676431304433069,0.06690350555003825,0.5764184380868356,0.23763754399239967,0.30930877429433035,4.3100481944732785
Optuna NSGA-II,0.6785680369325405,0.058709395036857376,0.4428458519818768,0.6499639307777652,0.3472659310486625,1.5227525095137953
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9699098521619943,0.6329770563201687,5.766855205204059
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9758520794625346,0.3746280235544143,9.0330309864098
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.3143559810763267,0.6795542149013333,9.690688297671034
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.3143559810763267,0.6795542149013333,9.690688297671034
Optuna NSGA-II,0.5035826647428415,0.002133795802303257,0.4964372474596625,0.3143559810763267,0.6621527905677054,9.168098265334837
Optuna NSGA-II,0.6357077868965454,0.02664576701539063,0.514273985779624,0.11607264050691624,0.3746280235544143,6.160940993109575
Optuna NSGA-II,0.5271464588445408,0.0038809731216810687,0.5128709413570319,0.936154774160781,0.3888431241882921,6.1305505308042845
Optuna NSGA-II,0.6164174577937893,0.030424831215004697,0.559284753686055,0.49161587511683236,0.48938870831222625,5.920392514089517
Optuna NSGA-II,0.6135746079593668,0.022066037829084884,0.5671485419672644,0.13752094414599325,0.6509492287711821,4.3100481944732785
Optuna NSGA-II,0.5450061727827763,0.010469749173777831,0.5342918761277199,0.13752094414599325,0.43642654042010337,8.124211393532637
Optuna NSGA-II,0.6371491240162607,0.037717474162622194,0.5657255853421682,0.417411003148779,0.3888431241882921,4.474923740206968
Optuna NSGA-II,0.6864241666743253,0.06957316784455041,0.47569179586622673,0.09120610304869037,0.39059831007917517,1.624251707876489
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.936154774160781,0.5784119186699892,8.803650867220934
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.8877041827582998,0.5524554503989052,8.153301731874835
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9758520794625346,0.5524554503989052,8.153301731874835
Optuna NSGA-II,0.6707226291459504,0.012983203043084202,0.28144672873147014,0.9699098521619943,0.4123089449763423,1.2188436978830846
Optuna NSGA-II,0.5507025944068155,0.004008258519934391,0.5328505390080047,0.11005192452767676,0.3291052025456774,8.16213402492491
Optuna NSGA-II,0.6499940263392489,0.04919928950945871,0.5964302016033919,0.04530400977204452,0.4498450458505885,4.3100481944732785
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9758520794625346,0.5807867509030813,9.0330309864098
Optuna NSGA-II,0.5007199027059152,0.0010162601626016261,0.5007199027059152,0.6432882184423532,0.6509492287711821,5.920392514089517
Optuna NSGA-II,0.6485817916693472,0.03451351951087058,0.5342934078356049,0.23763754399239967,0.30930877429433035,4.3100481944732785
Optuna NSGA-II,0.6650047636115222,0.059545927925442506,0.4471576096779431,0.5683086033354716,0.3746280235544143,1.624251707876489
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.906354385094736,0.6795542149013333,9.690688297671034
Optuna NSGA-II,0.6621465966982505,0.03328907769522829,0.487171946463746,0.49379559636439074,0.32252131027273495,4.847869165226946
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9699098521619943,0.6329770563201687,4.474923740206968
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.936154774160781,0.5784119186699892,9.168098265334837
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9758520794625346,0.3746280235544143,9.669002854965502
Optuna NSGA-II,0.7021333627421248,0.06973343440666203,0.39495700495967007,0.06505159298527952,0.4123089449763423,1.2188436978830846
Optuna NSGA-II,0.6635664899075767,0.04462122404677588,0.574283237295249,0.23763754399239967,0.30930877429433035,4.3100481944732785
Optuna NSGA-II,0.586429680822711,0.010572413253825444,0.561432208140721,0.11607264050691624,0.3298202574719083,6.160940993109575
Optuna NSGA-II,0.6335695226891889,0.034688190460539246,0.5442709529980118,0.5360963663441204,0.35795794883648924,4.776400561850109
Optuna NSGA-II,0.6107164410460951,0.017272269476490576,0.5535913954777856,0.417411003148779,0.42381104651453105,6.78177350385684
Optuna NSGA-II,0.6607221083652695,0.022987773374593595,0.4000866946662868,0.9699098521619943,0.43235920994105964,1.5720251525742128
Optuna NSGA-II,0.668579769814939,0.06501436321016947,0.5364469891218105,0.09120610304869037,0.3650467757379565,2.0787883060031453
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9758520794625346,0.5524554503989052,8.153301731874835
PyMOO NSGA-III,0.7157150165577623,0.05332460176549827,0.4157147102161853,0.12525123921883297,0.3457772409822148,1.0608035448674413
PyMOO NSGA-III,0.7057037738218869,0.038525585457981855,0.5342367346438627,0.05004107469720778,0.4102215309214617,1.8015028869313248
PyMOO NSGA-III,0.660731298612579,0.012628526683901733,0.4215168196842844,0.8817207323891522,0.40249110755517303,1.8771995444416758
PyMOO NSGA-III,0.6535797544978602,0.013744173985562344,0.4964724767410158,0.9045300534650349,0.35581884561637994,1.8247177400855763
PyMOO NSGA-III,0.6428577993033793,0.017292849145595136,0.5821562158237678,0.11109320482039708,0.36345172211967647,7.34761998997558
PyMOO NSGA-III,0.6357062551886604,0.010220196221057474,0.5785658925415016,0.11108830026601056,0.3636265956375668,8.062091255842784
PyMOO NSGA-III,0.6807200865108612,0.04115311954908193,0.5950286888886845,0.10407739209431172,0.3446985249355963,5.201678111073468
PyMOO NSGA-III,0.7414262651141277,0.09732888588685311,0.4235585862948905,0.04325136083475556,0.34364164770573674,1.082129505276958
PyMOO NSGA-III,0.7064252082356869,0.04741215084042277,0.4600040437088162,0.04315926163476988,0.3466929556373841,3.4988223483214513
PyMOO NSGA-III,0.6892853970033667,0.01736627122672117,0.35714985923604536,0.023884687943230613,0.3321628287891516,2.103389002748234
PyMOO NSGA-III,0.7057144957770815,0.037663646667370765,0.3414360680445911,0.0231368124331613,0.4055189218662783,1.1276721223628874
PyMOO NSGA-III,0.6757221236823483,0.011040382453022099,0.35788507902080974,0.8447815697388734,0.32221861701448495,1.0858624156823475
PyMOO NSGA-III,0.7299966608768109,0.07253731871322419,0.4728305655371852,0.02297266872403115,0.34401243429498723,1.2799136092204824
PyMOO NSGA-III,0.6985690784939022,0.06542453152264596,0.5842960117390092,0.12230184438083419,0.34553438846707935,3.219262679657726
PyMOO NSGA-III,0.7185655249316092,0.03161145857178473,0.19708791696917896,0.049917782055288074,0.3108314647829043,1.5551432411782373
PyMOO NSGA-III,0.708571130982468,0.04400474662920132,0.39428764861395754,0.12525123921883297,0.3457194499598189,1.0608035448674413
PyMOO NSGA-III,0.6857134542157196,0.05469080780732428,0.5964378601428164,0.02524112889025856,0.3963566966382864,3.4915702723876065
PyMOO NSGA-III,0.562818403776579,0.00017546938059309625,0.45575202262026204,0.9869242031533472,0.3580571536986553,1.4653390443958594
PyMOO NSGA-III,0.677152738846869,0.00762659341994489,0.2985528423903221,0.8597530011773445,0.3456066875907851,1.0764450932105827
PyMOO NSGA-III,0.7064114228647226,0.026285973157119873,0.1455612637202734,0.26931521845734563,0.33191407631337727,1.2296900622571925
PyMOO NSGA-III,0.7149935821439621,0.049463177969608384,0.34713861650017,0.06084121905449613,0.30131232906527566,2.2738063944129143
PyMOO NSGA-III,0.7207145110941603,0.08026948059397272,0.5921429512334844,0.032698808354807644,0.3548658852228105,2.1299547900169817
PyMOO NSGA-III,0.7057099006534266,0.07785097904203472,0.5771306822533261,0.228667678539572,0.34551966006732016,2.304126406208096
PyMOO NSGA-III,0.7335624768329182,0.07428445033953639,0.5263836683178478,0.028651282051658455,0.31809894318857185,1.68782770501175
PyMOO NSGA-III,0.6914160026712985,0.02430816814459837,0.3449972888770437,0.059732373827369664,0.34590011255755376,1.8550303017746352
PyMOO NSGA-III,0.6621404698667108,0.021160029925588908,0.5478367689541193,0.04206486516529792,0.4213214837912329,5.090575713373858
PyMOO NSGA-III,0.7007088744091438,0.01684090725425293,0.33642278813722876,0.023884687943230613,0.32924260688541457,2.35859553465147
PyMOO NSGA-III,0.7064175496962624,0.045175424264272145,0.5635321796509544,0.032698808354807644,0.3548658852228105,2.48400882237976
PyMOO NSGA-III,0.6492802504648734,0.03146375996650697,0.5850021290739601,0.11738396402665802,0.3634025735434076,5.624667316736749
PyMOO NSGA-III,0.6849935515098045,0.0029007809346837297,0.14568686376683732,0.8563029896807532,0.3180045047698117,1.1672369741533624
PyMOO NSGA-III,0.729995129168926,0.09383281334255145,0.5264081756440065,0.10038222975020805,0.3506219040794818,1.4695064285852335
PyMOO NSGA-III,0.6621588503613299,0.018510425717698814,0.4443346720460248,0.8961926325860838,0.3082131496681514,1.4844509696363872
PyMOO NSGA-III,0.7135568401479017,0.05425199663690732,0.5349367251472738,0.05004107469720778,0.33033574626936313,1.8015028869313248
PyMOO NSGA-III,0.6949910088747154,0.034835738156757945,0.4128657335502231,0.14513584550675737,0.34384577037332253,2.304479968714537
